ABACO;INSTRUMENTO DE CÁLCULO
ABADE;RELIGIOSO SUPERIOR
ABAFO;SENSAÇÃO DE CALOR
ABALO;TREMOR OU IMPACTO
ABANO;OBJETO PARA VENTILAR
ABATE;AÇÃO DE DERRUBAR
ABETA;ESPÉCIE DE ABETO
ABETO;ÁRVORE CONÍFERA
ABOBE;COBERTURA EM ARCO
ABONO;GARANTIA OU BENEFÍCIO
ABRAC;VOCABULÁRIO GERAL
ABRIL;QUARTO MÊS DO ANO
ABRIR;DESTAMPAR OU DESTANCAR
ABSOR;RETENÇÃO DE LÍQUIDO
ABUSO;EXCESSO OU MAU USO
ACASO;ACONTECIMENTO FORTUITO
ACATO;RESPEITO E OBEDIÊNCIA
ACENO;GESTO COM A MÃO
ACERO;MADEIRA RESISTENTE
ACESO;ILUMINADO OU EM CHAMAS
ACETO;COMPOSTO DO VINAGRE
ACHAD;VOCABULÁRIO GERAL
ACHOU;ENCONTROU ALGO
ACHRA;VOCABULÁRIO GERAL
ACIDO;SUBSTÂNCIA CORROSIVA
ACIMA;EM POSIÇÃO SUPERIOR
ACOES;TÍTULOS DE EMPRESA
ACOLI;VOCABULÁRIO GERAL
ACOPL;VOCABULÁRIO GERAL
ACORD;VOCABULÁRIO GERAL
ACRES;MEDIDA DE TERRA
ADAGA;ARMA BRANCA CURTA
ADEGA;DEPÓSITO DE VINHOS
ADEUS;DESPEDIDA DEFINITIVA
ADIAR;POSTERGAR EVENTO
ADIRA;FAZER PARTE DE GRUPO
ADITO;ENTRADA OU ACESSO
ADMIT;RECEBER OU CONCORDAR
ADORA;AMAR INTENSAMENTE
ADOTE;ACOLHER OU ESCOLHER
ADUBO;FERTILIZANTE DE SOLO
AFAGO;CARINHO SUAVE
AFERE;VERIFICAR MEDIDA
AFETA;CAUSAR IMPACTO EM
AFETO;CARINHO E EMPATIA
AFIAR;AMOLAR UMA LÂMINA
AFLUA;CORRER EM DIREÇÃO A
AFLUX;VOCABULÁRIO GERAL
AGITA;VOCABULÁRIO GERAL
AGORA;NO MOMENTO PRESENTE
AGRIL;LIGAÇÃO OU GRILHÃO
AGUAS;BEBIDA VITAL
AGUDO;SOM FINO E ALTO
AGUIA;AVE DE RAPINA
AINDA;ATÉ ESTE MOMENTO
AIRES;ARES OU POSTURA
AIURO;CIDADE OU TERMO
AJUDA;AUXÍLIO PRESTADO
ALADO;DOTADO DE ASAS
ALAMO;ÁRVORE FRONDOSA
ALANO;CÃO DE GRANDE PORTE
ALBUM;COLEÇÃO DE FOTOS/MÚSICAS
ALCAR;ELEVAR ÀS ALTURAS
ALCAS;VOCABULÁRIO GERAL
ALCES;VOCABULÁRIO GERAL
ALCEU;NOME HISTÓRICO
ALCON;SUBSTÂNCIA QUÍMICA
ALDEA;PEQUENO POVOADO
ALDEI;VOCABULÁRIO GERAL
ALEEM;VOCABULÁRIO GERAL
ALGAS;ORGANISMOS AQUÁTICOS
ALGOZ;CARRASCO OU TORTURADOR
ALGUM;ELEMENTO INDEFINIDO
ALHEO;QUE PERTENCE A OUTRO
ALHOS;TEMPERO CULINÁRIO
ALIAS;ALÉM DISSO / POR OUTRO LADO
ALIBI;PROVA DE INOCÊNCIA
ALICE;NOME PRÓPRIO
ALIEN;VOCABULÁRIO GERAL
ALIJA;VOCABULÁRIO GERAL
ALIOS;TERMO ANTIGO
ALMAS;ESPÍRITOS VITAIS
ALOES;PLANTA MEDICINAL BABOSA
ALOJA;DAR ABRIGO
ALONG;EXTENDER O COMPRIMENTO
ALTAR;ESTRUTURA SAGRADA
ALTAS;DE GRANDE ESTATURA
ALTEZ;VOCABULÁRIO GERAL
ALTOS;ELEVADOS DO CHÃO
ALTOZ;VOCABULÁRIO GERAL
ALUNA;ESTUDANTE FEMININA
ALUNO;DISCÍPULO / ESTUDANTE
ALVES;SOBRENOME COMUM
ALVOR;BRANCURA DA MANHÃ
ALVOS;OBJETIVO DE MIRA
AMADA;MUITO QUERIDA
AMADO;ESTIMADO POR TODOS
AMAGO;O CENTRO OU ESSÊNCIA
AMARG;VOCABULÁRIO GERAL
AMARO;GOSTO AMARGO
AMARZ;VOCABULÁRIO GERAL
AMBAR;RESINA NATURAL DOURADA
AMBAS;AS DUAS OPÇÕES
AMBOS;OS DOIS ELEMENTOS
AMEBA;ORGANISMO UNICELULAR
AMEIA;DETALHE DE CASTELO
AMENA;SUAVE E AGRADÁVEL
AMENO;CLIMA TRANQUILO
AMIDO;POLISSACARÍDEO NUTRITIVO
AMIGA;COMPANHEIRA FIEL
AMIGO;PARCEIRO DE CONFIANÇA
AMIMA;MIMAR COM CARINHO
AMINO;RADICAL QUÍMICO
AMORA;FRUTINHA ROXA SILVESTRE
AMPAZ;VOCABULÁRIO GERAL
AMPLA;ESPAÇOSA E VASTA
AMPLO;COM GRANDE ESPAÇO
AMRES;VOCABULÁRIO GERAL
ANAIS;VOCABULÁRIO GERAL
ANCHO;LARGO E ESPAÇOSO
ANCIA;DESEJO OU AFLIÇÃO
ANCOR;FIXAÇÃO DE NAVIO
ANDAR;CAMINHAR COM PASSOS
ANDES;CORDILLHEIRA ANDINA
ANDOR;SUPORTE DE PROCISSÃO
ANEIS;ACESSÓRIO DE DEDO
ANELA;DESEJAR ARDENTEMENTE
ANEXO;JUNTO AO DOCUMENTO
ANGRA;PEQUENA BAÍA COSTEIRA
ANIMA;DAR VIDA OU CORAGEM
ANIME;ANIMAÇÃO JAPONESA
ANION;ÍON DE CARGA NEGATIVA
ANJOS;MENSAGEIROS CELESTES
ANODO;ELETRODO POSITIVO
ANOTA;APONTAR EM NOTAS
ANSAO;TERMO NÁUTICO
ANSIE;VOCABULÁRIO GERAL
ANTAO;VOCABULÁRIO GERAL
ANTAS;MAMÍFERO BRASILEIRO
ANTES;EM MOMENTO ANTERIOR
ANTRO;CAVERNA SUBTERRÂNEA
ANUAL;FREQUÊNCIA DE UM ANO
ANZOL;GANCHO DE PESCADOR
APAGO;AÇÃO DE EXTINÇÃO
APARA;RESTO DE CORTE
APATO;SEM PAIXÃO
APEGA;CRIAR AFETO FORTE
APELO;CHAMADO DE SOCORRO
APICE;PONTO CULMINANTE
APITA;ASSOPRAR O APITO
APITO;INSTRUMENTO DE SOM AGUDO
APOIO;ESTRUTURA DE SUSTENTAÇÃO
APOLO;DIVINDADE GREGA
APREO;VALORIZAÇÃO DE BEM
APTOS;QUALIFICADOS E CAPAZES
APUPO;VOCABULÁRIO GERAL
APURA;VERIFICAR RESULTADO
AQUEM;DO LADO DE CÁ
ARABE;LÍNGUA OU POVO DO ORIENTE
ARADO;EQUIPAMENTO DE LAVOURA
ARAME;FIO DE METAL RESISTENTE
ARARA;AVE DE PLUMAGEM VIVA
ARCAD;VOCABULÁRIO GERAL
ARCAS;BAÚS DE MADEIRA
ARCOS;CURVATURA ARQUITETÔNICA
ARDIL;ESTRATAGEMA ENGANOSO
ARDIS;PLANOS ASTUTOS
ARDOR;ENTUSIASMO OU QUEIMAÇÃO
ARDUO;MUITO TRABALHOSO
AREAL;EXTENSÃO DE AREIA
AREIA;GRÃOS NA BEIRA-MAR
ARENA;LOCAL DE COMBATE/JOGOS
ARFAR;RESPIRAR COM DIFICULDADE
ARFAS;VOCABULÁRIO GERAL
ARGOS;CIDADE GREGA ANTIGA
ARGUA;QUESTIONAR EM DEBATE
ARGUE;VOCABULÁRIO GERAL
ARIAS;VOCABULÁRIO GERAL
ARIEL;NOME OU ESPÍRITO DO AR
AROMA;ODOR PERFUMADO
ARPAR;LANÇAR ARPÃO
ARPAS;VOCABULÁRIO GERAL
ARPOZ;VOCABULÁRIO GERAL
ARQUE;VOCABULÁRIO GERAL
ARRAZ;VOCABULÁRIO GERAL
ARREI;EQUIPAMENTO DE MONTARIA
ARROZ;ALIMENTO BASE BRASILEIRO
ARTES;CRIAÇÃO ESTÉTICA
ARTUR;REI DAS LENDAS BRITÂNICAS
ASILO;CASA DE ABRIGO E REPOUSO
ASPAS;SINAIS DE CITAÇÃO
ASPES;SERPENTE VENENOSA
ASPRO;ÁSPERO AO TOQUE
ASSAR;PREPARAR AO FORNO
ASSIM;DESTA FORMA EXATA
ASTRO;CORPO BRILHANTE NO ESPAÇO
ATACA;INVESTIR CONTRA O ALVO
ATADO;AMARRADO COM CORDA
ATAME;VOCABULÁRIO GERAL
ATAPO;VOCABULÁRIO GERAL
ATEAR;COLOCAR FOGO EM
ATEIA;QUE NÃO CRÊ EM DEUSES
ATEUS;PESSOAS SEM CRENÇA RELIGIOSA
ATILA;LÍDER DOS HUNOS
ATIVO;PROPRIEDADE OU ENÉRGICO
ATLAS;CONJUNTO DE CARTAS GEOGRÁFICAS
ATLET;VOCABULÁRIO GERAL
ATLEZ;PRATICANTE DE ESPORTE
ATOLE;VOCABULÁRIO GERAL
ATOMO;MENOR PARTE DO ELEMENTO
ATONA;SÍLABA PRONUNCIADA FRACA
ATORZ;PROFISSIONAL DA CENA
ATRAS;PARTE RETAGUARDA
ATREU;VOCABULÁRIO GERAL
ATRIZ;INTÉRPRETE DE TEATRO/CINEMA
ATROZ;EXTREMAMENTE FEROZ
ATUAL;CONTEMPORÂNEO
ATUAR;EXERCER AÇÃO
ATUMS;VOCABULÁRIO GERAL
AUDIA;PERCEBER PELO OUVIDO
AUDIL;VOCABULÁRIO GERAL
AUDIO;GRAVAÇÃO SONORA
AUDIR;OUVIR ATENTAMENTE
AULAS;LIÇÕES ESCOLARES
AURAS;EMANAÇÕES ENERGÉTICAS
AUROR;MADRUGADA CLARA
AUTOR;CRIADOR DA OBRA
AUTOS;REGISTRO PROCESSUAL
AVARO;PEGADO AO DINHEIRO
AVEIA;CEREAL EM FLOCOS
AVIAO;AERONAVE DE TRANSPORTE
AVIDO;FAMINTO OU GANANCIOSO
AVISO;NOTIFICAÇÃO FORMAL
AVOSZ;VOCABULÁRIO GERAL
AXIAL;ALINHADO COM O CENTRO
AXILA;DOBRA SOB O BRAÇO
AZEDA;ACIDULADA
AZEDO;GOSTO DO LIMÃO
AZIAS;QUEIMAÇÃO GÁSTRICA
AZIMO;PÃO SEM FERMENTO
AZOTO;NITROGÊNIO EM QUÍMICA
AZUIS;TONS CELESTES
AZURA;AZUL CLARO
BABAR;DEIXAR CAIR SALIVA
BABAS;VOCABULÁRIO GERAL
BACIA;VASILHA FUNDA
BACON;TOUCINHO DEFUMADO
BAFOS;HÁLITO QUENTE
BAGAS;PEQUENOS FRUTOS REDONDOS
BAGOS;GRÃOS DE UVA
BAGRE;PEIXE COM BARBILHÕES
BAHIA;ESTADO DO NORDESTE
BAILE;FESTA COM ORQUESTRA
BAIXA;DE PEQUENA ALTURA
BAIXO;GRAVE OU DE POUCA ALTURA
BALAO;GLOBO DE AR QUENTE
BALDA;DEFEITO DE CARÁTER
BALDE;RECIPIENTE COM ALÇA
BALDO;VOCABULÁRIO GERAL
BALES;VOCABULÁRIO GERAL
BALSA;PLATAFORMA FLUTUANTE
BAMBO;FROUXO OU OSCILANTE
BAMBU;PLANTA TUBULAR ASIÁTICA
BANAL;SEM ORIGINALIDADE
BANCA;MESA DE EXAME OU VENDAS
BANCO;ASSENTO OU COFRE
BANDA;GRUPO DE MÚSICOS
BANDO;GRUPO EM REUNIÃO
BANHA;GORDURA DERRETIDA
BANHO;LAVAGEM DO CORPO
BANIR;DEPORTAR OU PROIBIR
BANJO;CORDAS DE TIMBRE METÁLICO
BAQUE;SOM DE QUEDA PESADA
BARAO;GRAU NOBILIÁRQUICO
BARBA;CABELO NO QUEIXO
BARCA;EMBARCAÇÃO DE TRAVESSIA
BARCO;TRANSPORTE NÁUTICO
BARDO;CANTOR MEDIEVAL
BARRA;PEÇA ALONGADA
BARRO;ARGILA MOLDÁVEL
BASAL;RELATIVO AO FUNDAMENTO
BASES;PILARES DE APOIO
BASEY;VOCABULÁRIO GERAL
BASTA;CHEGA / SUFICIENTE
BASTO;DENSO E CERRADO
BATEL;PEQUENO BOTE
BATER;DAR PANCADAS
BATOM;MAQUIAGEM LABIAL
BAURU;SANDUÍCHE TRADICIONAL
BAZAR;VENDA BENEFICENTE
BEATA;DEVOTA DA IGREJA
BEATO;SANTIFICADO
BEBAS;VOCABULÁRIO GERAL
BEBER;INGERIR LÍQUIDO
BEBES;VOCABULÁRIO GERAL
BECOS;VOCABULÁRIO GERAL
BEIJA;DAR UM BEIJO
BEIJO;ÓSCULO AFETUOSO
BEIRA;BORDA OU MARGEM
BELAS;LINDAS E FORMOSAS
BELOS;AGRADÁVEIS AOS OLHOS
BENTA;ABENÇOADA
BENTO;CONSAGRADO
BERCO;CAMA DE INFANTE
BERRO;GRITO ROUCO
BESTA;ARBALETE OU MONSTRO
BICHO;ANIMAL SELVAGEM
BICOS;PONTAS DAS AVES
BIELA;HASTE MECÂNICA
BIGES;VOCABULÁRIO GERAL
BIGOD;BIGODE / PELOS LABIAIS
BINGO;SORTEIO DE NÚMEROS
BIOMA;CONJUNTO DE VIDA REGIONAL
BIPES;VOCABULÁRIO GERAL
BIRRA;TEIMOSIA INFANTIL
BISPO;SACERDOTE DE ALTO GRAU
BLOCO;MASSA COMPACTA
BLOGS;DIÁRIOS DIGITAIS
BLUSA;VESTUÁRIO DO TRONCO
BOATO;RUMOR NÃO PROVADO
BOBAS;TOLAS E SIMPLES
BOBOS;INGÊNUOS
BOCAL;PEÇA DE AJUSTE BUCAL
BOCAS;ABERTURAS FACIAIS
BOCHA;JOGO DE PRECISÃO
BODAS;FESTEJOS DE UNIÃO
BODES;MACHOS DA CABRA
BOEHM;VOCABULÁRIO GERAL
BOIAS;EQUIPAMENTO NÁUTICO
BOINA;BOINA DE LÃ
BOJOS;VOCABULÁRIO GERAL
BOLAO;APOSTA EM GRUPO
BOLAR;IDEALIZAR PLANO
BOLDO;CHÁ DIGESTIVO
BOLES;VOCABULÁRIO GERAL
BOLHA;GLÓBULO DE SABÃO
BOLOS;MASSAS DOCES ASSADAS
BOLSA;SACOLA DE CARREGAR
BOLSO;SACOLA NA CALÇA
BOMBA;ARTEFATO EXPLOSIVO
BONDE;CARRO ELÉTRICO URBANO
BONES;COBERTURA DE SOL
BONUS;PRÊMIO ADICIONAL
BORDA;LINHA LIMÍTROFE
BORDO;MADEIRA OU COSTADO
BORRA;RESÍDUO DE LÍQUIDO
BOSSA;TALENTO E CHARME
BOSSO;VOCABULÁRIO GERAL
BOSTA;VOCABULÁRIO GERAL
BOTAM;COLOCAM EM DETERMINADO LOCAL
BOTAO;PEÇA DE FECHAR ROUPA / ELETRÔNICO
BOTAR;DEPOSITAR EM LUGAR
BOTAS;CALÇADO DE COURO
BOTES;VOCABULÁRIO GERAL
BOVIM;VOCABULÁRIO GERAL
BOXES;VOCABULÁRIO GERAL
BRACO;MEMBRO SUPERIOR DO CORPO
BRADA;CLAMAR EM ALTA VOZ
BRADO;GRITO DE GUERRA
BRAGA;CIDADE PORTUGUESA
BRAMA;VOCABULÁRIO GERAL
BRAVA;CORAJOSA OU ZANGADA
BRAVO;VALENTE EM COMBATE
BRECA;VOCABULÁRIO GERAL
BREJO;ÁREA ÚMIDA DE VÁRZEA
BREVE;PASSAGEIRO E CURTO
BRIDA;RÉDEA DE CAVALO
BRIGA;DISPUTA CORPORAL
BRIND;VOCABULÁRIO GERAL
BRISA;VENTILAÇÃO LEVE
BRITA;CASCALHO DE CONSTRUÇÃO
BRITO;VOCABULÁRIO GERAL
BROAS;BOLOS DE FUBÁ
BROCA;FERRAMENTA DE FURADEIRA
BROMO;HALOGÊNIO LÍQUIDO
BROTA;NASCER COMO VEGETAL
BROTE;VOCABULÁRIO GERAL
BROTO;NOVA FOLHAGEM
BRUMA;NEVOEIRO MARINHO
BRUTA;SEM TRATAMENTO PRÉVIO
BRUTO;PESO SEM DESCONTO / SELVAGEM
BUCAL;DA CAVIDADE ORAL
BUCHA;VEDAÇÃO DE CANO
BUCHO;ESTÔMAGO DE ANIMAL
BUENO;BOM / POSITIVO
BUFAO;VOCABULÁRIO GERAL
BUFAR;VOCABULÁRIO GERAL
BUFOZ;VOCABULÁRIO GERAL
BUJES;VOCABULÁRIO GERAL
BULAS;VOCABULÁRIO GERAL
BULBO;CEBOLA OU LÂMPADA
BULEZ;VOCABULÁRIO GERAL
BURRA;SEM INTELIGÊNCIA
BURRO;ANIMAL EQUÍDEO
BUSCA;PROCURA INCANSÁVEL
BUSTO;TRONCO HUMANO EM ARTE
BUXOS;VOCABULÁRIO GERAL
BYTES;OITO BITS JUNTOS
CABAL;ABSOLUTO E TOTAL
CABAZ;VOCABULÁRIO GERAL
CABEA;VOCABULÁRIO GERAL
CABEL;PELOS DA CABEÇA
CABER;ENQUADRAR NO ESPAÇO
CABIA;VOCABULÁRIO GERAL
CABOS;AMARRAS OU FIAÇÕES
CABRA;FÊMEA DO BODE
CACAL;VOCABULÁRIO GERAL
CACAR;PERSEGUIR ANIMAIS
CACAU;BASE DO CHOCOLATE
CACHA;ESCONDERIJO OCULTO
CACHO;CONJUNTO DE UVAS
CACOS;VOCABULÁRIO GERAL
CACTO;PLANTA ESPINHOSA
CADAS;VOCABULÁRIO GERAL
CADEI;VOCABULÁRIO GERAL
CADER;VOCABULÁRIO GERAL
CAFES;GRÃOS TORRADOS E MOÍDOS
CAIRZ;VOCABULÁRIO GERAL
CAIXA;EMBALAGEM DE PAPELÃO
CALAR;SILENCIAR A VOZ
CALCA;ROUPA DE DUAS PERNAS
CALCE;VOCABULÁRIO GERAL
CALCO;SUPORTE DE APOIO
CALDO;LÍQUIDO DE COZIMENTO
CALEI;VOCABULÁRIO GERAL
